Date,Adj Close,Close,High,Low,Open,Volume
2024-08-12 00:00:00+00:00,0.27475925587496824,0.27456051125584147,0.24398838252912267,0.38964091540172563,0.3880842107467307,4.307940929841721
2024-08-13 00:00:00+00:00,0.2665557209717811,0.2663362388735214,0.24518285216299573,0.3915532679574608,0.3864286015801498,4.248578074546779
2024-08-14 00:00:00+00:00,0.2625891815464794,0.26234839068831073,0.2427414221106668,0.389430668587902,0.3831714236512403,4.24937311161468
2024-08-15 00:00:00+00:00,0.2649147670911631,0.2646857711050847,0.24406549399176247,0.3879655723010396,0.38334727190957774,4.059222372257096
2024-08-16 00:00:00+00:00,0.25802134035699403,0.2577660840474458,0.2363574176175073,0.38663421681140864,0.382941043571886,3.8047963288987243
2024-08-19 00:00:00+00:00,0.2572830969384279,0.25701768937676156,0.23587220050893667,0.38616628115596335,0.3769769316630137,3.8110107884811053
2024-08-20 00:00:00+00:00,0.2571611133364507,0.2568942418367243,0.23550751148231597,0.38529181487091496,0.37679957815665843,3.8585159232895583
2024-08-21 00:00:00+00:00,0.25083788122037787,0.2505387033594103,0.23077884470116647,0.3833981046636041,0.3764898382511106,3.7955602427623694
2024-08-22 00:00:00+00:00,0.2426847511013474,0.2423965189572171,0.23077342160223682,0.381140384756941,0.3758626170836471,3.8609350020056397
2024-08-23 00:00:00+00:00,0.24150298883957375,0.24120955220379248,0.2307199177806632,0.379193819139975,0.37556683060222495,3.8351806167158093
2024-08-26 00:00:00+00:00,0.23611380305574264,0.23579221301052286,0.2227945342924014,0.37455060610397417,0.36281106480534414,3.8504236392038136
2024-08-27 00:00:00+00:00,0.23638086726454322,0.23606239969422776,0.2239267727895674,0.37487456145912906,0.3625684164026032,3.7409840464970476
2024-08-28 00:00:00+00:00,0.2253339356732431,0.22502789955294594,0.21660226470649205,0.3682345452425905,0.3571312166058136,3.6457241404267893
2024-08-29 00:00:00+00:00,0.22064451126208598,0.2203855141504888,0.21965318861280814,0.3657618455732963,0.358091658532499,3.7400486822128114
2024-08-30 00:00:00+00:00,0.22099718683939096,0.22073249578568213,0.21687382445106618,0.3661671699525086,0.35080798354889453,3.6399475934700978
2024-09-03 00:00:00+00:00,0.23571737584106447,0.23543219937496412,0.21739154779873843,0.3755362556283562,0.3504883035483106,3.643170041620486
2024-09-04 00:00:00+00:00,0.23651631080170393,0.23621318004030914,0.23646101817604892,0.3785733693295535,0.36022995357179877,3.6227289123598054
2024-09-05 00:00:00+00:00,0.22123760324846078,0.22096824628081646,0.24013160940178602,0.37519566524868053,0.3602112020898667,3.417594559785609
2024-09-06 00:00:00+00:00,0.2218054506227558,0.22153341423813322,0.23416375530734945,0.37429509713998127,0.3549982313038845,3.4846251051167303
2024-09-09 00:00:00+00:00,0.22175280996882507,0.2214780577218115,0.23946260859057164,0.3763016225024056,0.3575716695181294,3.552528932438994
2024-09-10 00:00:00+00:00,0.22205611561769548,0.22177431848223939,0.23944560570305484,0.37628109698853396,0.35770866464544376,3.61888493458494
2024-09-11 00:00:00+00:00,0.2243463033489318,0.22408078126154074,0.23996400564704123,0.3765584123300074,0.3580444699988641,3.626646815136322
2024-09-12 00:00:00+00:00,0.22023831957426152,0.21994590543395437,0.23562225230012956,0.3725328498982251,0.35707757095685155,3.6190383161440782
2024-09-13 00:00:00+00:00,0.2143084676383932,0.21403249392353527,0.23554930154980575,0.3702078917989304,0.355260041552177,3.551539167250843
